S0rvo0, S0rvo30, S0rvo60, S0rvo90, S0rvo120, S0rvo150, S0rvo180, Action
59.6907 ,60,60,54.1581 ,10.3608 ,14.7766 ,60, 0
34.5533 ,60,8.90034 ,7.73196 ,8.52234 ,60,60, 1
35.567 ,53.4192 ,60,60,9.69072 ,11.9416 ,60, 0
38.6598 ,49.2783 ,60,60,9.29553 ,6.39175 ,9.34708 , 0
39.0378 ,41.0309 ,60,10.5155 ,7.38832 ,8.2646 ,60,  0
38.6598 ,41.1168 ,11.1856 ,9.27835 ,60,60,60, 1
36.5464 ,60,6.64948 ,5.25773 ,7.68041 ,60,60, 1
37.4227 ,29.1753 ,5.24055 ,8.31615 ,60,60,60, 2
40.0172 ,10.0172 ,5.6701 ,39.9313 ,60,60,60, 2
37.5945 ,42.268 ,6.90722 ,60,60,36.8728 ,60, 2
36.9931 ,8.48797 ,7.25086 ,60,54.2783 ,36.0481 ,60, 2
13.4708 ,25.4296 ,60,60,60,60,60, 2 
33.4708 ,10.8419 ,60,60,60,60,60, 2
13.3849 ,60,60,60,60,60,60, 2
8.95189 ,9.57045 ,60,60,60,53.2474 ,60, 2
2.5773 ,7.42268 ,9.36426 ,60,60,60,45.9106 , 2
60,5.60137 ,4.38144 ,7.1134 ,31.5292 ,60,60, 2
37.6976 ,60,5.58419 ,6.70103 ,9.98282 ,60,60, 1
60,60,5.72165 ,4.74227 ,6.03093 ,60,60, 1
60,42.543 ,8.24742 ,6.13402 ,7.14777 ,60,60, 2
40.2749 ,60,60,7.74914 ,8.16151 ,15.189 ,60, 1
43.2818 ,10.189 ,6.01374 ,60,60,60,60, 2
44.0893 ,8.83162 ,9.29553 ,60,60,60,60, 2 
60,60,60,60,8.29897 ,8.33333 ,11.7354 , 0
60,45.8763 ,60,60,60,6.47766 ,7.18213 , 0
60,49.6564 ,60,60,8.78007 ,5.9622 ,6.4433 , 0
60,60,60,60,7.23368 ,5.9622 ,7.45704 , 0
60,60,60,8.47079 ,5.24055 ,5.6701 ,7.68041 , 0
42.3196 ,60,60,6.01374 ,5.30928 ,5.56701 ,60, 0
47.921 ,60,60,5.22337 ,4.74227 ,48.3505 ,60, 0
60,60,7.7835 ,5.17182 ,5.65292 ,60,60,1
58.6942 ,60,6.82131 ,5.17182 ,6.49484 ,60,60, 1
42.3368 ,52.646 ,6.97594 ,5.61856 ,60,60,60, 1
42.4399 ,60,6.04811 ,8.31615 ,60,60,60, 2
60,10.4467 ,6.4433 ,44.5361 ,60,60,60, 2
41.4433 ,8.05842 ,6.46048 ,60,60,60,60, 2
8.81443 ,8.0756 ,52.2165 ,60,60,60,60, 2
9.19244 ,9.53608 ,60,60,60,60,60, 2
11.1856 ,15.7216 ,60,33.1443 ,60,60,60, 2
39.2096 ,60,60,60,60,60,60, 2
13.5395 ,15.0 ,60,60,60,60,60, 2
12.3711 ,12.6976 ,60,60,60,60,60, 2
12.4399 ,11.3746 ,60,60,60,60,60, 2
14.5533 ,11.5636 ,11.1512 ,60,60,60,60, 2
41.5807 ,11.0825 ,9.55326 ,11.1512 ,60,60,60, 2
39.7079 ,13.5911 ,9.12371 ,9.24398 ,55.2405 ,60,60, 1
41.8385 ,60,8.76289 ,8.41924 ,11.0825 ,60,60, 1
44.5705 ,60,8.48797 ,8.02406 ,8.91753 ,60,60, 1
44.1409 ,60,10.0 ,8.00687 ,9.60481 ,60,60, 1
43.6426 ,32.8351 ,60,7.66323 ,8.47079 ,12.354 ,60, 1
60,60,11.9931 ,9.89691 ,10.5842 ,60,60, 1
44.8797 ,45.5498 ,11.134 ,9.31271 ,13.4192 ,60,60, 1
49.5533 ,60,12.9553 ,11.134 ,15.756 ,60,60, 1
60,38.6942 ,14.5533 ,13.5395 ,20.2921 ,60,60, 1
48.7801 ,60,17.3024 ,15.8419 ,18.677 ,60,60, 1
44.9828 ,60,13.866 ,13.6942 ,60,54.2096 ,60, 2
41.9416 ,17.268 ,13.2646 ,14.1409 ,60,47.1478 ,60, 2
40.2405 ,15.8247 ,13.2818 ,15.2234 ,60,60,60, 2
60,14.8969 ,13.3505 ,26.0481 ,60,60,60, 2
16.4089 ,13.8316 ,14.1237 ,44.5876 ,60,60,60, 2
14.9141 ,13.7629 ,14.7079 ,60,47.2165 ,60,60, 2
14.1924 ,14.433 ,60,54.2096 ,60,60,60, 2
15.4467 ,14.811 ,60,60,60,60,60, 2
15.2577 ,16.134 ,60,60,60,60,60, 2
15.8591 ,17.354 ,60,60,60,60,60, 2
16.4777 ,18.5911 ,60,60,60,60,60, 2
18.2302 ,20.2062 ,60,54.9313 ,60,60,60, 2
17.1649 ,18.3677 ,60,59.9313 ,60,60,60, 2 
18.6426 ,16.0997 ,19.1409 ,60,60,60,60, 2
41.0309 ,17.6117 ,15.9278 ,60,58.9175 ,60,60,2
47.8694 ,60,16.1684 ,17.7663 ,60,45.4124 ,60, 1
60,60,16.4605 ,17.0103 ,60,54.3986 ,60, 1
41.6667 ,60,17.1134 ,16.5464 ,60,43.8316 ,60, 1
42.4227 ,60,19.244 ,16.701 ,19.433 ,60,60, 1
35.1718 ,60,35.3093 ,29.2268 ,37.3024 ,33.2131 ,30.6357 , 1
43.7113 ,37.3196 ,39.2612 ,27.9725 ,37.7148 ,33.1959 ,30.6186 , 1
45.0515 ,53.3333 ,39.7251 ,27.1821 ,37.3024 ,34.1065 ,31.0825 , 1
51.7182 ,39.6907 ,39.8969 ,24.3986 ,42.079 ,39.0893 ,31.2371 , 1
31.4948 ,39.6907 ,27.3024 ,23.1787 ,48.8832 ,38.6254 ,30.7732 , 1
60,39.6907 ,25.7217 ,22.4399 ,46.323 ,40.3265 ,30.7732 , 1
33.6082 ,39.6907 ,24.9141 ,21.6151 ,45.1203 ,39.8797 ,30.7904 , 1
60,40.1203 ,23.3677 ,20.8935 ,42.5086 ,38.6942 ,30.8247 , 1
32.2509 ,32.0619 ,39.5361 ,19.7938 ,41.2715 ,37.8522 ,30.8247 , 1
60,40.1375 ,22.5086 ,19.1581 ,40.0 ,38.3161 ,30.8763 , 1
32.3883 ,41.8041 ,39.5705 ,17.9038 ,39.1409 ,37.8694 ,30.8076 , 1
60,40.1203 ,40.7904 ,16.9416 ,38.7801 ,38.2646 ,30.8247 , 1
60,42.1821 ,40.378 ,15.9966 ,37.4914 ,38.2818 ,31.2371 , 1
37.6976 ,40.1031 ,18.9003 ,14.7423 ,37.9725 ,38.2818 ,31.2715 , 1
59.6735 ,40.5498 ,17.3024 ,13.5739 ,23.6598 ,38.7285 ,30.8935 , 1
60,40.1203 ,17.6976 ,12.6976 ,37.543 ,37.8351 ,31.2887 , 1
42.0275 ,42.646 ,32.0447 ,11.5292 ,19.0893 ,37.8522 ,31.2543 , 1
60,40.945 ,60,10.7045 ,15.6186 ,37.8694 ,30.8591 , 1
58.299 ,40.5155 ,60,9.12371 ,14.0722 ,38.2818 ,31.2715 , 1
32.8007 ,40.1031 ,60,7.86942 ,12.4055 ,38.7113 ,30.8591 , 1
31.0825 ,32.4742 ,55.756 ,7.07904 ,11.5808 ,39.5705 ,30.8591 , 1
32.4399 ,40.5155 ,34.6392 ,6.54639 ,10.945 ,38.3333 ,30.8763 , 1
59.1409 ,40.5155 ,42.4055 ,5.08591 ,9.63918 ,41.2543 ,30.8591 , 1
60,40.1031 ,38.2131 ,28.8144 ,36.7182 ,39.1237 ,30.9107 , 1
31.4777 ,40.5155 ,30.0687 ,27.4227 ,36.7354 ,39.6048 ,30.8763 , 1
30.567 ,31.2028 ,28.8832 ,25.4296 ,37.1306 ,37.921 ,31.2715 , 1
29.8969 ,41.8213 ,25.6873 ,24.7594 ,36.6838 ,37.9038 ,30.8763 , 1
37.9553 ,40.1203 ,24.7766 ,23.866 ,36.7526 ,37.921 ,30.8591 , 1
32.7491 ,31.1684 ,24.0722 ,22.3024 ,36.2543 ,37.9038 ,30.8591 , 1
31.9931 ,40.5326 ,23.6426 ,22.3024 ,36.2715 ,37.4914 ,30.8591 , 1
60,41.3918 ,21.7869 ,20.8763 ,35.8763 ,37.4914 ,31.3402 , 1
29.4674 ,42.646 ,20.6529 ,20.189 ,36.7526 ,37.9038 ,30.8763 , 1
30.378 ,40.9966 ,20.567 ,18.8316 ,37.1478 ,37.9038 ,30.8591 , 1
30.7217 ,41.4089 ,19.9484 ,18.6426 ,36.7182 ,37.5086 ,30.8763 , 1
60,40.9794 ,18.1271 ,17.6976 ,36.2715 ,37.0962 ,30.8591 , 1
28.3333 ,60,30.4124 ,17.354 ,36.6667 ,37.079 ,31.3402 , 1
31.8385 ,40.5155 ,16.0309 ,16.0137 ,36.7354 ,37.1134 ,31.323 , 1
31.5464 ,40.9794 ,15.6529 ,14.3986 ,35.8247 ,37.0962 ,31.2715 , 1
31.4261 ,40.5155 ,14.6907 ,13.4708 ,36.7182 ,37.5086 ,31.3058 , 1
60,60,14.2612 ,12.5945 ,36.6838 ,37.079 ,31.3402 , 1
60,60,14.2612 ,12.5945 ,36.6838 ,37.079 ,31.3402 , 1
29.0378 ,42.6632 ,11.3058 ,10.1718 ,37.5601 ,37.0962 ,31.323 , 1
28.7801 ,32.4055 ,9.91409 ,9.94845 ,37.079 ,37.5086 ,31.3402 , 1
30.8763 ,40.9278 ,9.53608 ,8.78007 ,36.6667 ,37.0962 ,30.8763 , 1
42.5258 ,60,7.95533 ,6.78694 ,13.3505 ,37.9038 ,30.8591 , 1
